Timestamp,Current_Depth_m,ROP_m_h,Mud_Level_pct,Flow_Rate_lpm,Mud_Temp_C,theta_600,theta_300,theta_200,theta_100,theta_6,theta_3,Mud_Density_SG,Actual_Pump_Press_psi,Actual_Standpipe_Press_psi
2026-05-20 12:00:00,250.00,15.0,85.1,2200.0,35.3,30.0,22.0,18.0,13.0,5.0,4.0,1.1,2723.1,2668.7
2026-05-20 12:00:10,250.04,15.0,85.3,2200.0,34.7,30.0,22.0,18.0,13.0,5.0,4.0,1.1,2722.6,2668.2
2026-05-20 12:00:20,250.08,14.6,85.2,2200.0,34.6,30.0,22.0,18.0,13.0,5.0,4.0,1.1,2725.5,2670.9
2026-05-20 12:00:30,250.12,15.5,85.3,2200.0,35.2,30.0,22.0,18.0,13.0,5.0,4.0,1.1,2723.0,2668.5
2026-05-20 12:00:40,250.17,15.1,85.2,2200.0,35.3,30.0,22.0,18.0,13.0,5.0,4.0,1.1,2723.4,2669.0
2026-05-20 12:00:50,250.21,15.4,85.1,2200.0,35.0,30.0,22.0,18.0,13.0,5.0,4.0,1.1,2726.5,2672.0
2026-05-20 12:01:00,250.25,15.0,84.9,2200.0,34.7,30.0,22.0,18.0,13.0,5.0,4.0,1.1,2725.4,2670.9
2026-05-20 12:01:10,250.29,14.8,85.1,1800.0,34.8,30.0,22.0,18.0,13.0,5.0,4.0,1.1,1835.9,1799.2
2026-05-20 12:01:20,250.33,15.1,85.4,1800.0,35.1,30.0,22.0,18.0,13.0,5.0,4.0,1.1,1834.6,1798.0
2026-05-20 12:01:30,250.37,15.1,85.2,1800.0,35.1,30.0,22.0,18.0,13.0,5.0,4.0,1.1,1827.2,1790.7
2026-05-20 12:01:40,250.41,14.8,85.1,1800.0,35.4,30.0,22.0,18.0,13.0,5.0,4.0,1.1,1827.4,1790.9
2026-05-20 12:01:50,250.45,15.0,85.3,1800.0,35.3,30.0,22.0,18.0,13.0,5.0,4.0,1.1,1836.4,1799.7
2026-05-20 12:02:00,250.49,14.8,85.4,1800.0,35.0,30.0,22.0,18.0,13.0,5.0,4.0,1.1,1829.2,1792.6
2026-05-20 12:02:10,250.53,15.0,85.0,2400.0,35.1,30.0,22.0,18.0,13.0,5.0,4.0,1.1,3254.3,3189.2
2026-05-20 12:02:20,250.57,15.0,85.3,2400.0,34.9,30.0,22.0,18.0,13.0,5.0,4.0,1.1,3248.7,3183.7
2026-05-20 12:02:30,250.61,15.1,85.5,2400.0,34.9,30.0,22.0,18.0,13.0,5.0,4.0,1.1,3248.7,3183.7
2026-05-20 12:02:40,250.65,15.3,85.4,2400.0,35.3,30.0,22.0,18.0,13.0,5.0,4.0,1.1,3237.6,3172.9
2026-05-20 12:02:50,250.70,15.0,85.1,2400.0,34.9,30.0,22.0,18.0,13.0,5.0,4.0,1.1,3236.9,3172.2
2026-05-20 12:03:00,250.74,15.3,85.1,2400.0,35.0,30.0,22.0,18.0,13.0,5.0,4.0,1.1,3254.5,3189.4
